,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,adult,,pizza,fit,,italian,,,,,country,,live
1,,adult,,,fit,japanese,,,hamburger,,pop,country,,live
2,,adult,,,,japanese,,,hamburger,,,country,,live
3,,adult,,pizza,fit,,,,hamburger,rock,,country,no music,
4,,adult,,pizza,fit,,italian,,,,pop,,,
5,,adult,,,,,,,hamburger,,,country,,live
6,,adult,,,,,italian,,hamburger,rock,,country,no music,live
7,,adult,,,fit,japanese,,,,,,,no music,
8,,adult,,pizza,,,,,hamburger,rock,pop,,no music,live
9,,adult,,pizza,fit,,italian,,,,pop,country,,
10,,adult,,,fit,,,,,rock,pop,country,,
11,,adult,,,,,italian,,hamburger,rock,,,no music,live
12,,adult,,pizza,,,italian,,,rock,pop,,no music,
13,,adult,,,,,italian,,hamburger,rock,pop,country,no music,live
14,,adult,,pizza,fit,,,,hamburger,,,country,,
15,,adult,,pizza,,,italian,,hamburger,rock,,,no music,
16,,adult,,,,japanese,,,,,pop,country,,
17,,adult,,pizza,,,italian,,hamburger,rock,,,,
18,,adult,,,,,italian,,,,,,no music,live
19,,adult,,pizza,,japanese,,,,rock,pop,country,no music,
20,,adult,,,,,italian,,,rock,,country,no music,live
21,,adult,,pizza,,,,,,,pop,country,,
22,,adult,,pizza,fit,,,,,,pop,,,live
23,,adult,,pizza,fit,japanese,,,,rock,,country,no music,
24,,adult,,,fit,japanese,,,hamburger,rock,pop,,,
25,,adult,,,,japanese,,,,,pop,country,,live
26,,adult,,pizza,fit,,italian,,,,,,,live
27,,adult,,,,japanese,,,hamburger,rock,pop,country,,live
28,,adult,,,fit,,italian,,hamburger,,pop,,no music,live
29,,adult,,,,japanese,italian,,,,pop,,no music,
30,,adult,,,fit,,,,hamburger,rock,,country,,live
31,,adult,,,,japanese,,,hamburger,,,country,,live
32,,adult,,pizza,fit,japanese,,,,,pop,country,,
33,,adult,,pizza,fit,,,,,,pop,country,no music,
34,,adult,,,,,italian,,,rock,,,,
35,,adult,,pizza,fit,,,,hamburger,rock,,country,,live
36,,adult,,,fit,,italian,,hamburger,rock,pop,,,live
37,,adult,,,,japanese,,,,,pop,country,,live
38,,adult,,pizza,fit,japanese,,,hamburger,rock,pop,,no music,live
39,,adult,,pizza,fit,japanese,,,,,,country,no music,live
40,,adult,,,fit,japanese,,,hamburger,rock,pop,,no music,
41,,adult,,,fit,japanese,italian,,,,pop,country,no music,
42,,adult,,,,,italian,,hamburger,rock,pop,,no music,live
43,,adult,,,fit,,,,,rock,,country,,
44,,adult,,pizza,,japanese,,,hamburger,,pop,,no music,
45,,adult,,pizza,fit,,,,hamburger,,,country,no music,live
46,,adult,,,,japanese,italian,,,rock,,,no music,live
47,,adult,,,,,italian,,,,,country,,live
48,,adult,,,,,italian,,,rock,pop,,no music,live
49,,adult,,pizza,,,italian,,hamburger,,pop,,no music,live
50,,adult,,,fit,,italian,,,rock,,,,
51,,adult,,pizza,fit,,,,,rock,,country,,live
52,,adult,,pizza,,,italian,,hamburger,rock,,country,no music,live
53,,adult,,,,,,,,,,country,no music,live
