,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,adult,,,,japanese,,fast food,hamburger,,pop,,,
1,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,,country,no music,
2,,adult,,,fit,,,fast food,hamburger,rock,pop,country,no music,live
3,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,pop,country,,live
4,,adult,,,,,italian,fast food,,,pop,country,,
5,,adult,,pizza,,,italian,fast food,,,,country,,
6,,adult,,pizza,,,italian,fast food,,,pop,country,no music,live
7,,adult,,,fit,,,fast food,,rock,,country,no music,
8,,adult,,pizza,,,,fast food,hamburger,,pop,country,no music,live
9,,adult,,,fit,,,fast food,,,pop,country,,
10,,adult,,,,japanese,italian,fast food,hamburger,,pop,,no music,live
11,,adult,,pizza,fit,,italian,fast food,hamburger,,pop,,,
12,,adult,,,fit,japanese,,fast food,,,pop,country,no music,live
13,,adult,,,,,,fast food,hamburger,,pop,,no music,live
14,,adult,,pizza,,japanese,,fast food,,,pop,country,,
15,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,,country,no music,live
16,,adult,,,fit,japanese,italian,fast food,,rock,,,,live
17,,adult,,,fit,,,fast food,hamburger,rock,pop,,no music,
18,,adult,,pizza,fit,,,fast food,,,,,no music,
19,,adult,,,,,,fast food,,,,,no music,live
20,,adult,,,,,,fast food,hamburger,rock,,,,
21,,adult,,pizza,fit,,italian,fast food,hamburger,,pop,country,no music,live
22,,adult,,pizza,,japanese,italian,fast food,,rock,pop,,no music,
23,,adult,,,fit,japanese,italian,fast food,hamburger,,,,no music,live
24,,adult,,pizza,,,italian,fast food,,rock,pop,country,,
25,,adult,,,fit,japanese,italian,fast food,,,,,no music,live
26,,adult,,,fit,japanese,italian,fast food,,rock,pop,country,,
27,,adult,,,,,italian,fast food,,rock,pop,,,
28,,adult,,pizza,,japanese,,fast food,,,,country,,
29,,adult,,,,japanese,italian,fast food,hamburger,,pop,country,no music,
30,,adult,,,,japanese,,fast food,,,,country,no music,live
31,,adult,,pizza,,,italian,fast food,,rock,,,,live
32,,adult,,pizza,,japanese,italian,fast food,hamburger,rock,pop,country,no music,
33,,adult,,,,,,fast food,,,,country,,live
34,,adult,,,,japanese,italian,fast food,hamburger,,pop,,no music,
35,,adult,,,,japanese,,fast food,,rock,pop,country,,
36,,adult,,,fit,japanese,italian,fast food,hamburger,rock,pop,,,live
37,,adult,,pizza,fit,,italian,fast food,,rock,pop,country,no music,
38,,adult,,,,japanese,,fast food,hamburger,rock,pop,country,,live
39,,adult,,pizza,fit,,italian,fast food,hamburger,,pop,,no music,
40,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,pop,,no music,
41,,adult,,,fit,,italian,fast food,hamburger,,,country,no music,live
42,,adult,,pizza,fit,japanese,,fast food,hamburger,,,country,,
43,,adult,,pizza,,japanese,,fast food,hamburger,,pop,,no music,live
44,,adult,,,fit,,italian,fast food,,,pop,,,
45,,adult,,,,,,fast food,,,,,,live
46,,adult,,,fit,,italian,fast food,hamburger,,pop,country,,
47,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,,country,,
48,,adult,,,fit,,italian,fast food,hamburger,,,,no music,live
49,,adult,,,,japanese,,fast food,hamburger,,pop,country,,live
50,,adult,,pizza,,,italian,fast food,hamburger,,,,no music,
51,,adult,,,,japanese,italian,fast food,hamburger,,,,,live
52,,adult,,,,,italian,fast food,,rock,,,no music,
53,,adult,,,,japanese,italian,fast food,,,pop,,,live
54,,adult,,pizza,,japanese,italian,fast food,,,pop,,no music,
55,,adult,,,fit,japanese,italian,fast food,hamburger,,,,,live
56,,adult,,,fit,,italian,fast food,,,pop,,no music,live
57,,adult,,pizza,fit,,italian,fast food,hamburger,rock,,country,no music,
58,,adult,,pizza,,,italian,fast food,hamburger,rock,pop,,no music,
59,,adult,,pizza,fit,japanese,italian,fast food,,rock,pop,,,live
60,,adult,,,,japanese,,fast food,,rock,pop,,,
61,,adult,,,,japanese,,fast food,hamburger,rock,,country,,live
62,,adult,,,fit,,italian,fast food,hamburger,rock,,country,,live
63,,adult,,,fit,japanese,,fast food,hamburger,rock,,,no music,live
64,,adult,,,fit,japanese,italian,fast food,,rock,pop,,,
65,,adult,,pizza,fit,japanese,,fast food,hamburger,,pop,,no music,
66,,adult,,pizza,fit,japanese,,fast food,,,,country,,
67,,adult,,pizza,,,,fast food,hamburger,,,,,live
68,,adult,,,,japanese,,fast food,,,,,no music,live
69,,adult,,,,japanese,italian,fast food,,,pop,,no music,
70,,adult,,,,japanese,,fast food,hamburger,rock,,country,,live
71,,adult,,pizza,fit,japanese,,fast food,,,pop,country,no music,live
72,,adult,,,,,,fast food,hamburger,rock,,,no music,live
73,,adult,,pizza,,japanese,,fast food,,,,country,no music,
74,,adult,,,fit,,,fast food,,rock,,country,,
75,,adult,,,fit,japanese,,fast food,,,,country,no music,
76,,adult,,pizza,fit,japanese,italian,fast food,hamburger,,pop,country,,live
77,,adult,,pizza,,japanese,italian,fast food,,,,country,no music,live
78,,adult,,,,japanese,,fast food,,rock,,country,no music,live
79,,adult,,pizza,,japanese,italian,fast food,hamburger,,,,no music,
80,,adult,,pizza,,japanese,italian,fast food,hamburger,rock,pop,country,no music,live
81,,adult,,,fit,,,fast food,,rock,,,no music,
82,,adult,,pizza,,japanese,italian,fast food,,rock,pop,,no music,live
83,,adult,,,fit,japanese,italian,fast food,hamburger,rock,,,,live
84,,adult,,pizza,fit,japanese,,fast food,hamburger,rock,pop,country,no music,live
85,,adult,,,fit,japanese,,fast food,,rock,,,,live
86,,adult,,,fit,,,fast food,hamburger,,pop,country,no music,
87,,adult,,,fit,,,fast food,hamburger,rock,,country,no music,live
88,,adult,,,fit,japanese,italian,fast food,hamburger,,,,,
89,,adult,,,,japanese,italian,fast food,,,,country,no music,
90,,adult,,,,japanese,italian,fast food,hamburger,rock,pop,country,no music,live
91,,adult,,pizza,fit,,italian,fast food,,,,country,,live
92,,adult,,,fit,,,fast food,hamburger,,pop,,no music,
93,,adult,,,fit,,italian,fast food,,,,,no music,
94,,adult,,pizza,,japanese,,fast food,,,pop,,no music,
95,,adult,,,fit,,italian,fast food,hamburger,rock,,,,live
96,,adult,,pizza,fit,japanese,italian,fast food,hamburger,rock,pop,country,,
97,,adult,,,fit,,,fast food,,rock,pop,,,
98,,adult,,,fit,,,fast food,,rock,,,no music,
99,,adult,,,fit,,,fast food,hamburger,rock,pop,,,live
100,,adult,,pizza,fit,japanese,,fast food,hamburger,,,country,no music,
